# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01893, V max: 5.0246,,,,
# I min: 0.05424, I max: 0.08465,,,,
# P min: 0.27244101119999997, P max: 0.425093677,,,,
Time,Voltage,Current,Power,Capacity,Energy
1740,5.01956,0.08449,0.42410262,0.0408963,0.05141058
1745,5.02085,0.08451,0.42431203,0.04101366,0.0515579
1750,5.02057,0.08452,0.42433858,0.04113104,0.05170524
1755,5.0205,0.08455,0.42448327,0.04124845,0.05185263
1760,5.02065,0.08453,0.42439554,0.04136587,0.05199997
1765,5.01991,0.08454,0.42438319,0.04148328,0.05214734
1770,5.02034,0.08455,0.42446975,0.0416007,0.05229472
1775,5.0203,0.08451,0.42426555,0.0417181,0.05244203
1780,5.02022,0.08452,0.42430899,0.04183549,0.05258941
1785,5.02194,0.08455,0.42460503,0.0419529,0.05273682
1790,5.02124,0.08455,0.42454584,0.04207033,0.0528842
1795,5.01991,0.08453,0.42433299,0.04218774,0.05303153
1800,5.01983,0.08454,0.42437643,0.04230515,0.05317887
1805,5.01944,0.08455,0.42439365,0.04242258,0.05332626
1810,5.02042,0.08456,0.42452672,0.04254001,0.05347368
1815,5.02073,0.08458,0.42465334,0.04265747,0.05362112
1820,5.0205,0.08457,0.42458369,0.04277494,0.05376851
1825,5.01944,0.08457,0.42449404,0.0428924,0.05391593
1830,5.02014,0.08457,0.42455324,0.04300985,0.05406339
1835,5.02178,0.08458,0.42474215,0.04312732,0.05421086
1840,5.02143,0.08457,0.42466234,0.04324478,0.05435832
1845,5.02182,0.08458,0.42474554,0.04336225,0.05450579
1850,5.02147,0.08457,0.42466572,0.04347972,0.05465326
1855,5.02198,0.08458,0.42475907,0.04359718,0.05480072
1860,5.02093,0.08459,0.42472047,0.04371466,0.0549482
1865,5.0212,0.08459,0.42474331,0.04383215,0.05509567
1870,5.02096,0.08457,0.42462259,0.04394962,0.05524307
1875,5.01975,0.08456,0.42447006,0.04406707,0.05539046
1880,5.01991,0.08454,0.42438319,0.0441845,0.05553783
1885,5.02038,0.08453,0.42437272,0.04430191,0.0556852
1890,5.02093,0.08456,0.42456984,0.04441933,0.05583261
1895,5.0205,0.08453,0.42438286,0.04453676,0.05597996
1900,5.02038,0.08456,0.42452333,0.04465418,0.05612737
1905,5.02061,0.08457,0.42459299,0.04477163,0.0562748
1910,5.02085,0.08458,0.42466349,0.0448891,0.05642226
1915,5.02089,0.08458,0.42466688,0.04500657,0.05656972
1920,5.02128,0.08458,0.42469986,0.04512404,0.05671718
1925,5.02096,0.08459,0.42472301,0.04524152,0.05686468
1930,5.02194,0.08461,0.42490634,0.04535902,0.05701219
1935,5.02108,0.08458,0.42468295,0.04547651,0.05715966
1940,5.02143,0.08457,0.42466234,0.04559398,0.05730707
1945,5.01987,0.08454,0.42437981,0.04571142,0.05745443
1950,5.02022,0.08453,0.4243592,0.04582883,0.05760181
1955,5.02124,0.08456,0.42459605,0.04594625,0.05774921
1960,5.02034,0.08456,0.42451995,0.04606369,0.05789662
1965,5.02065,0.08453,0.42439554,0.04618112,0.05804396
1970,5.01991,0.08458,0.42458399,0.04629856,0.05819141
1975,5.02085,0.08456,0.42456308,0.04641601,0.05833884
1980,5.02112,0.08457,0.42463612,0.04653347,0.05848625
1985,5.02007,0.08453,0.42434652,0.0466509,0.05863359
1990,5.01979,0.08449,0.42412206,0.04676827,0.05878087
1995,5.02026,0.08455,0.42446298,0.04688566,0.05892827
2000,5.02089,0.08455,0.42451625,0.04700309,0.05907565
2005,5.02042,0.08452,0.4243259,0.0471205,0.05922302
2010,5.02128,0.08454,0.42449901,0.0472379,0.05937043
2015,5.02182,0.08455,0.42459488,0.04735533,0.05951785
2020,5.02175,0.08455,0.42458896,0.04747276,0.05966528
2025,5.02159,0.08454,0.42452522,0.04759018,0.05981269
2030,5.02178,0.08454,0.42454128,0.0477076,0.05996009
2035,5.02143,0.08456,0.42461212,0.04782503,0.06010752
2040,5.02128,0.08453,0.4244488,0.04794245,0.06025491
2045,5.02186,0.08453,0.42449783,0.04805985,0.06040225
2050,5.02011,0.08452,0.4242997,0.04817725,0.06054962
2055,5.02147,0.08454,0.42451507,0.04829465,0.06069699
2060,5.02042,0.08456,0.42452672,0.04841208,0.06084441
2065,5.02104,0.08456,0.42457914,0.04852953,0.06099186
2070,5.02182,0.08457,0.42469532,0.04864698,0.06113928
2075,5.02042,0.08454,0.42442631,0.04876442,0.06128667
2080,5.02085,0.08453,0.42441245,0.04888183,0.06143402
2085,5.0203,0.08452,0.42431576,0.04899922,0.06158138
2090,5.02143,0.08452,0.42441126,0.04911661,0.06172872
2095,5.02057,0.08453,0.42438878,0.04923401,0.06187605
2100,5.01952,0.08454,0.42435022,0.04935142,0.06202345
2105,5.02147,0.08455,0.42456529,0.04946884,0.06217084
2110,5.02069,0.08455,0.42449934,0.04958627,0.06231824
2115,5.02069,0.08456,0.42454955,0.04970371,0.06246566
2120,5.02089,0.08455,0.42451625,0.04982115,0.06261307
2125,5.02124,0.08452,0.4243952,0.04993856,0.06276039
2130,5.01987,0.08455,0.42443001,0.05005597,0.06290777
2135,5.02011,0.08456,0.4245005,0.0501734,0.06305518
2140,5.02061,0.08457,0.42459299,0.05029085,0.0632026
2145,5.02034,0.08457,0.42457015,0.05040831,0.06335004
2150,5.0212,0.08458,0.4246931,0.05052578,0.06349751
2155,5.02143,0.08457,0.42466234,0.05064324,0.06364493
2160,5.02026,0.08456,0.42451319,0.05076069,0.06379233
