algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,24,1,0,0x1ae1b6,yes,4667,4333,359,4692,32051,5133.5747,12.195987,0.91398300,0.037253,6d5571b76e88335c95f27e0000000000,6d5571b76e88335c397fbc0000000000,0x3a462b
SHA-3-256,24,44,0,0x689720,yes,4940,2800,2470,5270,30960,5133.5747,12.363587,1.02657511,0.036845,03ee32024c43a1e2050f5c0000000000,03ee32024c43a1e2772f9f0000000000,0x260c51
SHA-3-256,24,4,0,0x6b6bb5,yes,7743,4492,7743,12235,56683,5133.5747,13.578726,2.38332949,0.039416,fdb5eb07e5d47e4f1228ca0000000000,fdb5eb07e5d47e4fffb4de0000000000,0xb84e60
SHA-3-256,24,38,0,0xf58c54,yes,6180,1421,6180,7601,36584,5133.5747,12.891974,1.48064466,0.038009,0a147dbdc34cb86e3aa5850000000000,0a147dbdc34cb86e574ae90000000000,0x63bd38
SHA-3-256,24,37,0,0x9e418c,yes,6292,6234,242,6476,44296,5133.5747,12.660887,1.26149912,0.038321,87a0fa4463cccd34eeaee10000000000,87a0fa4463cccd346f7fed0000000000,0x50a890
SHA-3-256,24,23,0,0x3c6459,yes,3899,3215,3899,7114,32355,5133.5747,12.796445,1.38577900,0.039233,d3cbacf1bf7e26f8fb11290000000000,d3cbacf1bf7e26f8b96f200000000000,0x25d977
SHA-3-256,24,36,0,0x1d7461,yes,7473,5710,2491,8201,50241,5133.5747,13.001584,1.59752229,0.038811,5a64dfc8a0e3201fb363e90000000000,5a64dfc8a0e3201f559c9a0000000000,0x2eb559
SHA-3-256,24,39,0,0x3df0c0,yes,5004,4143,1251,5394,34086,5133.5747,12.397140,1.05072981,0.040151,7576d8c6968b307c283f490000000000,7576d8c6968b307c40ac1c0000000000,0x4d856b
SHA-3-256,24,48,0,0x6ed03e,yes,5744,3654,5744,9398,43336,5133.5747,13.198138,1.83069314,0.040401,425ccae674b5a0c24292ed0000000000,425ccae674b5a0c29187e60000000000,0x3bc740
SHA-3-256,24,17,0,0x0e3482,yes,8643,4149,8643,12792,59811,5133.5747,13.642954,2.49183088,0.042745,807b93d0a48622a2a78db80000000000,807b93d0a48622a2e9d4550000000000,0xf50476
SHA-3-256,24,15,0,0x779932,yes,4666,2848,4666,7514,34722,5133.5747,12.875365,1.46369741,0.043610,85f029f89e8f458c7927100000000000,85f029f89e8f458cd157910000000000,0x669444
SHA-3-256,24,33,0,0x37f8ff,yes,7982,654,7982,8636,42526,5133.5747,13.076148,1.68225856,0.044466,e61f8b91de4174ff6b84d10000000000,e61f8b91de4174ffef3ea30000000000,0x97d3ff
