time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
1435.00000000,5.01991000,0.08175000,0.03263774,0.04103380
1440.00000000,5.01882000,0.08175000,0.03275128,0.04117627
1445.00000000,5.01909000,0.08176000,0.03286483,0.04131872
1450.00000000,5.01811000,0.08174000,0.03297838,0.04146118
1455.00000000,5.01917000,0.08176000,0.03309192,0.04160364
1460.00000000,5.01807000,0.08176000,0.03320547,0.04174613
1465.00000000,5.01921000,0.08175000,0.03331902,0.04188858
1470.00000000,5.01847000,0.08177000,0.03343258,0.04203106
1475.00000000,5.01819000,0.08174000,0.03354613,0.04217349
1480.00000000,5.01858000,0.08177000,0.03365967,0.04231598
1485.00000000,5.01858000,0.08173000,0.03377322,0.04245838
1490.00000000,5.01796000,0.08174000,0.03388674,0.04260081
1495.00000000,5.01811000,0.08173000,0.03400026,0.04274320
1500.00000000,5.01768000,0.08174000,0.03411378,0.04288561
1505.00000000,5.01757000,0.08176000,0.03422732,0.04302804
1510.00000000,5.01722000,0.08171000,0.03434084,0.04317039
1515.00000000,5.01729000,0.08174000,0.03445435,0.04331282
1520.00000000,5.01835000,0.08173000,0.03456787,0.04345520
1525.00000000,5.01710000,0.08175000,0.03468140,0.04359763
1530.00000000,5.01788000,0.08176000,0.03479494,0.04374008
1535.00000000,5.01780000,0.08177000,0.03490851,0.04388256
1540.00000000,5.01796000,0.08177000,0.03502208,0.04402500
1545.00000000,5.01683000,0.08174000,0.03513562,0.04416743
1550.00000000,5.01831000,0.08176000,0.03524917,0.04430987
1555.00000000,5.01749000,0.08173000,0.03536270,0.04445226
1560.00000000,5.01753000,0.08175000,0.03547623,0.04459469
1565.00000000,5.01784000,0.08173000,0.03558976,0.04473712
1570.00000000,5.01893000,0.08176000,0.03570329,0.04487959
1575.00000000,5.01847000,0.08175000,0.03581684,0.04502205
1580.00000000,5.01870000,0.08175000,0.03593038,0.04516451
1585.00000000,5.01905000,0.08174000,0.03604392,0.04530697
1590.00000000,5.01944000,0.08177000,0.03615747,0.04544951
1595.00000000,5.02003000,0.08177000,0.03627103,0.04559203
1600.00000000,5.01991000,0.08176000,0.03638460,0.04573453
1605.00000000,5.01940000,0.08177000,0.03649816,0.04587705
1610.00000000,5.01968000,0.08178000,0.03661174,0.04601959
1615.00000000,5.01987000,0.08180000,0.03672533,0.04616218
1620.00000000,5.02030000,0.08177000,0.03683892,0.04630473
1625.00000000,5.02073000,0.08179000,0.03695251,0.04644730
1630.00000000,5.02026000,0.08178000,0.03706610,0.04658988
1635.00000000,5.02096000,0.08177000,0.03717967,0.04673242
1640.00000000,5.02030000,0.08177000,0.03729324,0.04687498
1645.00000000,5.02104000,0.08174000,0.03740679,0.04701748
1650.00000000,5.02089000,0.08174000,0.03752032,0.04715999
1655.00000000,5.02116000,0.08172000,0.03763383,0.04730244
1660.00000000,5.02042000,0.08173000,0.03774734,0.04744494
1665.00000000,5.02143000,0.08173000,0.03786085,0.04758742
1670.00000000,5.02069000,0.08174000,0.03797437,0.04772994
1675.00000000,5.02132000,0.08176000,0.03808792,0.04787246
1680.00000000,5.02046000,0.08174000,0.03820146,0.04801498
1685.00000000,5.02139000,0.08175000,0.03831499,0.04815749
1690.00000000,5.02065000,0.08177000,0.03842855,0.04830005
1695.00000000,5.02085000,0.08176000,0.03854211,0.04844257
1700.00000000,5.02042000,0.08177000,0.03865567,0.04858511
1705.00000000,5.02014000,0.08177000,0.03876924,0.04872764
1710.00000000,5.02011000,0.08177000,0.03888281,0.04887016
1715.00000000,5.01979000,0.08177000,0.03899638,0.04901269
1720.00000000,5.01995000,0.08177000,0.03910995,0.04915519
1725.00000000,5.01909000,0.08177000,0.03922352,0.04929775
1730.00000000,5.02077000,0.08177000,0.03933709,0.04944030
1735.00000000,5.02093000,0.08181000,0.03945069,0.04958291
1740.00000000,5.02050000,0.08178000,0.03956429,0.04972547
1745.00000000,5.02018000,0.08180000,0.03967789,0.04986805
1750.00000000,5.01987000,0.08177000,0.03979148,0.05001057
1755.00000000,5.01968000,0.08176000,0.03990504,0.05015307
1760.00000000,5.01960000,0.08177000,0.04001860,0.05029559
1765.00000000,5.01971000,0.08175000,0.04013216,0.05043805
